,id,name,blurb,city,loc_state,launched_at,deadline,goal,pledged,state,urls,category_id,category,subcategory,CODE1,CODE2,naics_code,desc
1,1038000179,Tube Shoot,Invade your favorite TV shows with guns blazing in this highly original shooter game for your mobile device.,Valencia,CA,2013-04-19,2013-05-19,15000,1241,failed,https://www.kickstarter.com/projects/1362527818/tube-shoot?ref=category,35,Games,Video games,5112,5112,5121,Motion Picture and Video Industries
2,1042414789,"Adam & Paul Save the Whole, Entire Apartment Complex","Two pop culture geeks set out to save their apartment complex during the zombie apocalypse, because saving the world is too much work!",Los Angeles,CA,2013-07-11,2013-08-10,12000,2408,failed,https://www.kickstarter.com/projects/paultodd/adam-and-paul-save-the-whole-entire-apartment-comp?ref=category,33,Film & video,Webseries,5121,5121,5121,Motion Picture and Video Industries
3,1060166680,Inspired,"Inspired by a lifetime of collaboration, I am finally recording an album of my own with the help of great musicians & friends.",Houston,TX,2014-06-21,2014-07-21,7500,8210,successful,https://www.kickstarter.com/projects/1170691712/inspired-0?ref=category,41,Music,Jazz,7111,7111,7111,Performing Arts Companies
4,1070560167,More Business of Being Born - Ricki Lake and Abby Epstein,Filmmakers Ricki Lake and Abby Epstein take a deeper look into the controversies and choices surrounding modern childbirth.,Los Angeles,CA,2011-06-14,2011-07-14,100000,121679.15,successful,https://www.kickstarter.com/projects/211982196/more-business-of-being-born-ricki-lake-and-abby-ep?ref=category,30,Film & video,Documentary,5121,5121,5121,Motion Picture and Video Industries
5,1073620864,Rooted in Alameda,"A multimedia project lifting up the history of African Americans in Alameda, California.",Alameda,CA,2019-03-26,2019-05-10,2500,5270,successful,https://www.kickstarter.com/projects/rasheedshabazz/rooted-in-alameda?ref=discovery_category_newest,357,Journalism,Audio,5191,5191,7115,"Independent Artists, Writers, and Performers"
6,1098244109,Ghost Vinyl: Insert Meme Here,"Just some kids from butthole, Arizona, looking to become a great indie band...in the eyes of an angel, we need you.",Tucson,AZ,2017-10-11,2017-12-10,5000,0,live,https://www.kickstarter.com/projects/2037241377/ghost-vinyl-insert-meme-here?ref=category_newest,40,Music,Indie rock,7111,7111,7111,Performing Arts Companies
7,1106106046,SnapPower ConnectLight,"Linkable, motion activated pathway lighting...that installs in seconds. Transform the way you light your home at night!",Orem,UT,2020-08-11,2020-09-10,30000,285476,successful,https://www.kickstarter.com/projects/snappower/connectlight?ref=discovery_category_newest,16,Technology,NA,3351,3351,3351,Electric Lighting Equipment Manufacturing
8,1111970353,Swing Lab - Modular Porch Swing,A modular porch swing that allows the user to configure multiple combinations of seating arrangements.,Olathe,KS,2018-11-10,2019-01-09,30000,112,failed,https://www.kickstarter.com/projects/1781895177/swing-lab-modular-porch-swing?ref=category_newest,356,Crafts,Woodworking,3371,3371,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
9,1137873695,Hugo the Happy Starfish: THE LAST BULLY,Hugo the Happy Starfish is an educational children’s book series by Suzy Liebermann featuring THE LAST BULLY and the Anti-Bully Club,Miami,FL,2015-04-27,2015-05-27,1000,1180,successful,https://www.kickstarter.com/projects/suzyliebermann/hugo-the-happy-starfish-the-last-bully?ref=category,46,Publishing,Children's books,5111,7115,5111,"Newspaper, Periodical, Book, and Directory Publishers"
10,1139821552,The Funklet,Graphic notations of twenty classic funk beats.,Ann Arbor,MI,2011-05-26,2011-06-26,3200,8285,successful,https://www.kickstarter.com/projects/1461914303/the-funklet?ref=category,14,Music,NA,7111,7111,4539,Other Miscellaneous Store Retailers
11,1146912065,The Atlanta Marshmallow Co. Launch & Vegan Marshmallows!,AtlMarshCo is making crazy good gourmet cubes of fluff in fab flavors that toast for s'mores & melt in traditional and now VEGAN too!,Atlanta,GA,2017-11-08,2017-11-25,768,320,failed,https://www.kickstarter.com/projects/2364597/the-atlanta-marshmallow-co-launch-and-vegan-marshm?ref=category_newest,315,Food,Vegan,3113,3113,3119,Other Food Manufacturing
12,1147285833,My Life,"I want to create a master peice! The catch....I want it to be inspired by the world! Please help inspire! More money, the bigger it is!",Lee,MA,2014-08-14,2014-09-13,2000,0,failed,https://www.kickstarter.com/projects/jonrayburn/my-life-0?ref=category,23,Art,Painting,7115,7115,7115,"Independent Artists, Writers, and Performers"
13,1155969639,"Mississippi Aquaponics, Living Supermarket",Mississippi Aquaponics is building an educational green house.,Long Beach,MS,2014-10-28,2014-11-27,8000,20,failed,https://www.kickstarter.com/projects/1579674648/mississippi-aquaponics-living-supermarket?ref=category,337,Technology,Gadgets,3342,3342,1114,"Greenhouse, Nursery, and Floriculture Production"
14,1166975139,OLD SCHOOL BAKERY & CAFE,"Restore Helvetia's 107 year-old land landmark schoolhouse as a vibrant cafe, Swiss Bakery, indoor farmers market and meeting hall.",Helvetia,OR,2014-08-19,2014-09-01,85000,640,failed,https://www.kickstarter.com/projects/2815287/old-school-bakery-and-cafe?ref=category,310,Food,Farmer's markets,3118,3118,7223,Special Food Services
15,1187517214,Trinity: Lock Pick Learning Kit,Have you ever wanted to learn to pick locks? This is your chance! I've put together the starter kit right here!,Jackson,MS,2017-05-17,2017-06-16,500,7326,successful,https://www.kickstarter.com/projects/1943000892/trinity-lock-pick-learning-kit?ref=category_newest,16,Technology,NA,4593,4593,4539,Other Miscellaneous Store Retailers
